"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1970,"mean",0.0473491940516261
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1970,"shape1",56.1002218292237
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1970,"shape2",1128.71871654713
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1971,"mean",0.0488356370842157
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1971,"shape1",70.1078767747921
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1971,"shape2",1365.48057790008
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1972,"mean",0.0502576284215126
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1972,"shape1",85.2290300256499
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1972,"shape2",1610.61362515957
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1973,"mean",0.0515652343158435
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1973,"shape1",101.621778493568
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1973,"shape2",1869.12032792491
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1974,"mean",0.0528590717636148
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1974,"shape1",121.901024605955
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1974,"shape2",2184.25041806589
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1975,"mean",0.054388501726202
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1975,"shape1",148.382533170386
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1975,"shape2",2579.81420807028
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1976,"mean",0.0564299636690861
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1976,"shape1",180.302338600485
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1976,"shape2",3014.85014559755
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1977,"mean",0.0591082055069397
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1977,"shape1",215.713493990438
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1977,"shape2",3433.75432761535
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1978,"mean",0.0622486721599536
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1978,"shape1",256.522826850431
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1978,"shape2",3864.41369997655
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1979,"mean",0.0653537025344402
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1979,"shape1",308.644923768687
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1979,"shape2",4414.03966485178
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1980,"mean",0.0677824467953924
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1980,"shape1",379.742700259873
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1980,"shape2",5222.63251948044
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1981,"mean",0.0691080850803464
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1981,"shape1",483.534772009903
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1981,"shape2",6513.25542189774
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1982,"mean",0.0694356485321711
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1982,"shape1",647.678094416442
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1982,"shape2",8680.06792809472
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1983,"mean",0.0694158445340513
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1983,"shape1",910.422275166647
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1983,"shape2",12205.0599505095
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1984,"mean",0.0699208971357837
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1984,"shape1",1295.22364112205
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1984,"shape2",17228.9042545309
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1985,"mean",0.0715952982898877
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1985,"shape1",1814.66438228404
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1985,"shape2",23531.4746188625
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1986,"mean",0.0744820506517272
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1986,"shape1",2579.03646967516
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1986,"shape2",32047.2452600607
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1987,"mean",0.0778139716571986
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1987,"shape1",3766.19293310731
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1987,"shape2",44633.7647210128
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1988,"mean",0.0801185171856294
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1988,"shape1",4998.5346274249
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1988,"shape2",57390.7207284078
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1989,"mean",0.0798462048361115
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1989,"shape1",5230.22929373009
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1989,"shape2",60273.5639606319
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1990,"mean",0.0763583068093127
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1990,"shape1",4630.45039551321
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1990,"shape2",56010.6322711925
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1991,"mean",0.0705013961220895
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1991,"shape1",3849.70604169339
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1991,"shape2",50754.9720703078
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1992,"mean",0.064159028930883
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1992,"shape1",3145.44289145155
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1992,"shape2",45880.2818407613
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1993,"mean",0.0592087715041043
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1993,"shape1",2692.23825732383
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1993,"shape2",42778.0221269372
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1994,"mean",0.0568006499851864
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1994,"shape1",2540.67931540463
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1994,"shape2",42189.0784614385
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1995,"mean",0.057217679096183
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1995,"shape1",2629.04647896486
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1995,"shape2",43319.1031225845
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1996,"mean",0.0599210641638507
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1996,"shape1",2843.46042146203
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1996,"shape2",44609.9762145555
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1997,"mean",0.0635202068474744
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1997,"shape1",3045.40974783579
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1997,"shape2",44898.5422476052
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1998,"mean",0.0659603150591707
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1998,"shape1",3076.89566647838
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1998,"shape2",43570.7842865086
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",1999,"mean",0.0653709813639568
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1999,"shape1",2850.53593799162
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",1999,"shape2",40754.9886925947
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2000,"mean",0.0612434551887631
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2000,"shape1",2531.10770034294
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2000,"shape2",38797.51578345
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2001,"mean",0.0547863947949015
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2001,"shape1",2360.19826631336
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2001,"shape2",40719.8086432307
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2002,"mean",0.0480036040847417
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2002,"shape1",2430.78745095371
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2002,"shape2",48206.8156478177
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2003,"mean",0.0424725948291643
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2003,"shape1",2711.96851952584
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2003,"shape2",61140.2291254279
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2004,"mean",0.0388376563439636
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2004,"shape1",3105.95076412645
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2004,"shape2",76866.7112476792
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2005,"mean",0.0369679857810683
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2005,"shape1",3523.75728076761
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2005,"shape2",91795.4008047175
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2006,"mean",0.036268203341194
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2006,"shape1",3821.68024773802
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2006,"shape2",101551.067659995
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2007,"mean",0.0359346177970732
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2007,"shape1",3691.8266573701
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2007,"shape2",99045.5025169168
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2008,"mean",0.0352405756639041
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2008,"shape1",3176.55438244978
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2008,"shape2",86962.5628880842
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2009,"mean",0.0338524406603198
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2009,"shape1",2688.43344941996
"mu","disease mortality rate (case fatality ratio)","beta",NA,"AGO",2009,"shape2",76727.8035184277
"mu","disease mortality rate (case fatality ratio)","point",NA,"AGO",2010,"mean",0.0319611704083973
