"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"nu","vaccination rate absolute value","point",NA,"ZMB",2016-12-16,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZMB",2016-12-17,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZMB",2016-12-18,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZMB",2016-12-19,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZMB",2016-12-20,"mean",37100
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-08,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-09,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-10,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-11,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-12,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-13,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-14,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-15,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2017-12-16,"mean",83600
"nu","vaccination rate absolute value","point",NA,"SOM",2018-02-08,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"SOM",2018-02-09,"mean",76600
"nu","vaccination rate absolute value","point",NA,"MWI",2018-02-19,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"MWI",2018-02-20,"mean",10500
"nu","vaccination rate absolute value","point",NA,"MWI",2018-03-12,"mean",98000
"nu","vaccination rate absolute value","point",NA,"SOM",2018-03-31,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"SOM",2018-04-01,"mean",69100
"nu","vaccination rate absolute value","point",NA,"UGA",2018-05-02,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"UGA",2018-05-03,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"UGA",2018-05-04,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"UGA",2018-05-05,"mean",57200
"nu","vaccination rate absolute value","point",NA,"NGA",2018-05-09,"mean",2e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-05-10,"mean",125900
"nu","vaccination rate absolute value","point",NA,"NGA",2018-05-11,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-05-12,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-05-13,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-05-14,"mean",85000
"nu","vaccination rate absolute value","point",NA,"UGA",2018-06-26,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"UGA",2018-06-27,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"UGA",2018-06-28,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"UGA",2018-06-29,"mean",32900
"nu","vaccination rate absolute value","point",NA,"NGA",2018-07-04,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-07-05,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-07-06,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-07-07,"mean",77900
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-03,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-04,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-05,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-06,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-07,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-08,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-09,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-10,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-11,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-12,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-13,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-14,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"ZWE",2018-10-15,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-11-28,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-11-29,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-11-30,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-01,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-02,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NER",2018-12-03,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-03,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NER",2018-12-04,"mean",45200
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-04,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-05,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-06,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-07,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"COD",2018-12-08,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"NGA",2018-12-08,"mean",1e+05
"nu","vaccination rate absolute value","point",NA,"COD",2018-12-09,"mean",1e+05
